# Top level file listing the corpus collections
#Collection File, HTML Gloss File, Title, Description, Introduction File, Corpus, Language, Format, Period
shijing.csv	shijing.html	The Book of Songs 《詩經》	An early collection of Chinese poems, with English translation by James Legge	shijing/shijing000.txt	Literary Chinese	Bilingual	c. 1000 to 600 BCE	Verse
sanguozhi.csv	sanguozhi.html	Records of the Three Kingdoms 《三國志》	The fourth of the standard Chinese histories, compiled by 陳壽 Chen Shou and annotations by 裴松之 Pei Songzhi, covering the end of the Eastern Han dynasty and the Three Kingdoms (220–280)	sanguozhi/sanguozhi000.txt	Literary Chinese	Prose	C. 289	historic
jinshu.csv	jinshu.html	Book of Jin 《晉書》	The fifth of the standard Chinese histories, compiled by 房玄齡 Fang Xuanling, covering the Jin dynasty (265-420)	jinshu/jinshu000.txt	Literary Chinese	Prose	648	historic
songshu.csv	songshu.html	Book of Song 《宋書》	The sixth of the standard Chinese histories, compiled by 沈約 Shen Yue, covering the Liu Song dynasty (420–479)	songshu/songshu000.txt	Literary Chinese	Prose	493	historic
nanqishu.csv	nanqishu.html	Book of Southern Qi 《南齊書》	The seventh of the standard Chinese histories, compiled by 蕭子顯 Xiao Zixian, covering the Southern Qi dynasty (479-502)	nanqishu/nanqishu000.txt	Literary Chinese	Prose	537	historic
liangshu.csv	liangshu.html	Book of Liang 《梁書》	The eigth of the standard Chinese histories, compiled by 姚思廉 Yao Silian, covering the Liang dynasty (502–557)	liangshu/liangshu000.txt	Literary Chinese	Prose	636	historic
chenshu.csv	chenshu.html	Book of Chen 《陳書》	The ninth of the standard Chinese histories, compiled by 姚思廉 Yao Silian, covering the Chen dynasty (557-58)	chenshu/chenshu000.txt	Literary Chinese	Prose	636	historic
weishu.csv	weishu.html	Book of Wei 《魏書》	The tenth of the standard Chinese histories, compiled by 魏收 Wei Shou, covering the Northern Wei and Eastern Wei dynasties from 386 to 550	weishu/weishu000.txt	Literary Chinese	Prose	554	historic
beiqishu.csv	beiqishu.html	Book of Northern Qi 《北齊書》	The eleventh of the standard Chinese histories, compiled by 李百藥 Li Baiyao, covering the Northern Qi dynasty (550-577)	beiqishu/beiqishu000.txt	Literary Chinese	Prose	636	historic
zhoushu.csv	zhoushu.html	Book of Zhou 《周書》	The twelfth of the standard Chinese histories, compiled by 令狐德棻 Linghu Defen, covering the Northern Zhou dynasty (557-581)	zhoushu/zhoushu000.txt	Literary Chinese	Prose	636	historic
suishu.csv	suishu.html	Book of Sui 《隋書》	The thirteenth of the standard Chinese histories, compiled by 魏徵 Wei Zheng, 令狐德棻 Linghu Defen, and 長孫無忌 Zhangsun Wuji covering the Sui dynasty (581-618)	suishu/suishu000.txt	Literary Chinese	Prose	636	historic
nanshi.csv	nanshi.html	History of the Southern Dynasties 《南史》	The fourteenth of the standard Chinese histories, compiled by 李延壽 Li Yanshou, covering the Liu Song, Southern Qi, Liang, and Chen dynasties	nanshi/nanshi000.txt	Literary Chinese	Prose	659	historic
beishi.csv	beishi.html	History of the Northern Dynasties 《北史》	 The fifteenth of the standard Chinese histories, compiled by 李延壽 Li Yanshou, covering the Northern Wei, Western Wei, Eastern Wei, Northern Zhou, Northern Qi, and Sui dynasties	beishi/beishi000.txt	Literary Chinese	Prose	659	historic
jiutangshu.csv	jiutangshu.html	Old Book of Tang 《舊唐書》	 The sixteenth of the standard Chinese histories, compiled by 劉昫 Liu Xu, covering the Tang dynasty (618–907)	jiutangshu/jiutangshu000.txt	Literary Chinese	Prose	945	historic
xintangshu.csv	xintangshu.html	New Book of Tang 《新唐書》	 The seventeenth of the standard Chinese histories, compiled by 歐陽脩 Ouyang Xiu, covering the Tang dynasty (618–907)	xintangshu/xintangshu000.txt	Literary Chinese	Prose	1060	historic
jiuwudaishi.csv	jiuwudaishi.html	Old History of the Five Dynasties 《舊五代史》	 The eighteenth of the standard Chinese histories, compiled by 薛居正 Xue Juzheng, covering the Five Dynasties (907-960)	jiuwudaishi/jiuwudaishi000.txt	Literary Chinese	Prose	974	historic
xinwudaishi.csv	xinwudaishi.html	New History of the Five Dynasties 《新五代史》	 The nineteenth of the standard Chinese histories, compiled by 歐陽脩 Ouyang Xiu, covering the Five Dynasties (907-960)	xinwudaishi/xinwudaishi000.txt	Literary Chinese	Prose	1053	historic
songshi.csv	songshi.html	History of Song 《宋史》	 The twentieth of the 二十四史 twenty four standard histories, compiled under the supervision of 脫脫 Toqto with a group of scholars including 歐陽玄 Ouyang Xuan, covering the Song dynasty (960-1279)	songshi/songshi000.txt	Literary Chinese	Prose	1345	historic
liaoshi.csv	liaoshi.html	History of Liao 《遼史》	 The twenty first of the 二十四史 twenty four standard histories, compiled under the supervision of 脫脫 Toqto with a group of scholars including 歐陽玄 Ouyang Xuan, covering the Liao dynasty (907–1125)	liaoshi/liaoshi000.txt	Literary Chinese	Prose	1345	historic
jinshi.csv	jinshi.html	History of Jin 《金史》	 The twenty second of the 二十四史 twenty four standard histories, compiled under the supervision of 脫脫 Toqto with a group of scholars including 歐陽玄 Ouyang Xuan, covering the Jin dynasty (1115–1234)	jinshi/jinshi000.txt	Literary Chinese	Prose	1345	historic
yuanshi.csv	yuanshi.html	History of Yuan 《元史》	 The twenty third of the 二十四史 twenty four standard histories, compiled under the supervision of 宋濂 Song Lian, covering the Yuan dynasty (1271–1368)	yuanshi/yuanshi000.txt	Literary Chinese	Prose	1370	historic
mingshi.csv	mingshi.html	History of Ming 《明史》	 The twenty fourth of the 24 dynastic histories 二十四史, compiled under 张廷玉 Zhang Tingyu with completion in 1739 covering the Ming dynasty 1368-1644	mingshi/mingshi000.txt	Literary Chinese	Prose	1739	historic
zhushujinian.csv	zhushujinian.html	Bamboo Annals 《竹書紀年》	Based on the court annals of 魏 the State of Wei	zhushujinian/zhushujinian000.txt	Literary Chinese	Prose	Pre-Qin	historic
guoyu.csv	guoyu.html	Guoyu 《國語》	Also known as Discourses of the States, attributed to 左丘明 Zuo Qiuming, covering the Spring and Autumn period	guoyu/guoyu000.txt	Literary Chinese	Prose	Pre-Qin	historic
zhanguoce.csv	zhanguoce.html	Stratagems of the Warring States 《戰國策》	An early collection of dialogs describing important events of the Warring States, compiled by 刘向 Liu Xiang Liu Xiang	zhanguoce/zhanguoce000.txt	Literary Chinese	Prose	Pre-Han	historic
shanhaijing.csv	shanhaijing.html	Classic of Mountains and Seas 《山海經》	An early text on geography	shanhaijing/shanhaijing000.txt	Literary Chinese	Prose	Pre-Qin	historic
daodejing.csv	daodejing.html	Daode Jing 《道德經》	With commentary by 王弼 Wang Bi	daodejing/daodejing000.txt	Literary Chinese	Prose	Warring States	Taoist
liezi.csv	liezi.html	Liezi 《列子》	Attributed to 杨朱 Yang Zhu	liezi/liezi000.txt	Literary Chinese	Prose	Warring States	Taoist
zhuangzi.csv	zhuangzi.html	Zhuangzi 《莊子》	With English translation by James Legge 1891, <i>The Writings of Chuang Tzu</i> Text	zhuangzi/zhuangzi000.txt	Literary Chinese	Prose	Warring States	Taoist
literary_chinese_prose.csv	literary_chinese_prose.html	Notes on Literary Chinese	A short introduction to literary Chinese and a selection of Literary Chinese Introduction	literary_chinese_prose00.txt	Literary Chinese	Prose	Classical	anthology
erya.csv	erya_collection.html	Er Ya 《爾雅》	The earliest Chinese dictionary	erya00.txt	Literary Chinese	Prose	Han	historic dictionary
shuowen.csv	shuowen.html	Shuo Wen Jie Zi 《說文解字》	An early Chinese dictionary	shuowen/shuowen000.txt	Literary Chinese	Prose	Northern and Southern Dynasties	historic dictionary
chuci.csv	chuci.html	Songs of Chu 《楚辭》	An early collection of Warring States poemsby 屈原 Qu Yuan, compiled by Liu Xiang 劉向 in the Han	chuci/chuci000.txt	Literary Chinese	Poetry	Han	poetry
wenxuan.csv	wenxuan.html	Wenxuan 《文選》	An  anthology of poetry covering the Warring States to c. 500 by 萧统 Xiao Tong (501-531) with commentary by 李善 Li Shan (630-689)	wenxuan/wenxuan000.txt	Literary Chinese	Poetry	520-530	poetry
tang_poetry.csv	poetry.html	Selections of Tang Poetry	\N	\N	Literary Chinese	Poetry	Tang	poetry
wenxin.csv	wenxin.html	The Literary Mind and the Carving of Dragons 《文心雕龍》	 An early Chinese text in literature theory by 劉勰 Liu Xie	wenxin/wenxin000.txt	Literary Chinese	Prose	465－520	literature
qianziwen.csv	qianziwen.html	Thousand Character Classic 《千字文》	 A text reportedly commissioned by 周興嗣 Zhou Xingsi (470–521)	qianziwen/qianziwen000.txt	Literary Chinese	Prose	c. 521	literature
yanshijiaxun.csv	yanshijiaxun.html	The Family Instructions of Master Yan 《顏氏家訓》	 A text by 颜之推 Yan Zhitui (531 - c. 591), including a collection of essays on morality and philogical subjects	yanshijiaxun/yanshijiaxun000.txt	Literary Chinese	Prose	c. 591	literature
sishuzhangju.csv	sishuzhangju.html	Commentaries on the Four Books by Zhu Xi 朱熹《四書章句集注》	\N	sishuzhangju/sishuzhangju.txt	Literary Chinese	Prose	Circa 1200	Confucian
tea_classic.csv	tea_classic.html	The Classic of Tea 《茶經》	Written by 陆羽 Lu Yu	tea_classic00.txt	Literary Chinese	Prose	760-780	non-fiction
shuihuzhuan.csv	shuihuzhuan.html	Water Margin 《水滸傳》	c. 1372 by Shi Naian 施耐庵, also known as <i>Outlaws of the Marsh</i> and <i>The Marshes of Mount Liang</i>, one of the four great novels of Chinese literature 四大名著	shuihuzhuan/shuihuzhuan000.txt	Literary Chinese	Prose	1372	fiction
sanguoyanyi.csv	sanguoyanyi.html	Romance of the Three Kingdoms 《三國演義》	By Luo Guanzhong 罗贯中, one of the four novels of Chinese literature 四大名著	sanguoyanyi/sanguoyanyi000.txt	Literary Chinese	Prose	1400	fiction
xiyouji.csv	xiyouji.html	Journey to the West 《西遊記》	Ming dynasty novel by Wu Cheng'en 吳承恩, one of the Four Classic Novels of Chinese literature	xiyouji/xiyouji000.txt	Literary Chinese	Prose	c. 1582	fiction
rulinwaishi.csv	rulinwaishi.html	The Scholars 《儒林外史》	Also known as <i>Unofficial History of the Scholars</i>, a satirical novel by 吴敬梓 Wu Jingzi 1701—1754	rulinwaishi/rulinwaishi00.txt	Literary Chinese	Prose	1750	fiction
hongloumeng.csv	hongloumeng.html	Dream of the Red Chamber 《紅樓夢》	A novel by 曹雪芹 Cao Xueqin c. 1715-1763, one of the Four Great Classical Novels of Chinese literature	hongloumeng/hongloumeng000.txt	Vernacular Chinese	Prose	1791	fiction
modern_articles.csv	media_articles.html	Media articles	\N	\N	Modern Chinese	Prose	Modern	non-fiction
laoshe.csv	laoshe.html	A small number of phrases from the writings of Lao She	\N	\N	Modern Chinese	Prose	Modern	fiction
yeshengtao.csv	yeshengtao.html	A small number of phrases from the writings of Ye Shengtao	\N	\N	Modern Chinese	Prose	Modern	fiction
calligraphy.csv	calligraphy.html	An introduction to Chinese calligraphy	\N	\N	English	Prose	Modern	non-fiction
chinese_fonts.csv	chinese_fonts.html	Chinese Fonts	\N	\N	English	Prose	Modern	non-fiction
decorative_designs.csv	decorative_designs.html	Decorative Designs in Chinese Art 中国文物的纹饰	\N	\N	English	Prose	Modern	non-fiction
grammar.csv	grammar.html	An Introduction to Chinese Grammar 汉语语法入门	\N	\N	English	Prose	Modern	non-fiction
